county_prec,total_reg
013_007,849.0
013_008,1130.0
013_009,360.0
013_010,873.0
013_011,1139.0
013_012,1677.0
013_013,2660.0
013_014,2124.0
013_015,2167.0
013_016,737.0
013_017,795.0
013_018,867.0
013_019,1247.0
013_020,961.0
013_021,974.0
013_022,1605.0
013_023,725.0
013_024,809.0
013_025,477.0
013_026,1187.0
013_027,616.0
013_028,861.0
013_029,378.0
013_030,570.0
013_031,594.0
013_032,194.0
013_033,620.0
013_034,1010.0
013_035,436.0
013_036,321.0
013_037,558.0
013_038,1130.0
013_039,684.0
013_040,808.0
013_041,424.0
013_042,380.0
013_043,500.0
013_044,562.0
013_045,620.0
013_046,515.0
013_047,679.0
013_048,1045.0
013_049,572.0
013_050,373.0
013_051,598.0
013_052,1312.0
013_053,961.0
013_054,738.0
013_055,1143.0
013_056,1252.0
013_057,652.0
013_058,1011.0
013_059,1748.0
013_060,224.0
013_061,1298.0
013_062,1900.0
013_063,928.0
013_064,437.0
013_065,623.0
013_066,1617.0
013_067,2136.0
013_068,615.0
013_069,808.0
013_070,541.0
013_071,715.0
013_072,425.0
013_073,1242.0
013_074,600.0
013_075,1372.0
013_076,582.0
013_077,502.0
013_078,1651.0
013_079,727.0
013_080,887.0
013_081,257.0
013_082,627.0
013_083,1737.0
013_084,757.0
013_085,768.0
013_086,1509.0
013_087,1154.0
013_088,313.0
013_089,751.0
013_090,776.0
013_091,577.0
013_092,276.0
013_093,232.0
013_094,652.0
013_095,158.0
013_096,839.0
013_097,1510.0
013_098,584.0
013_099,1141.0
013_100,641.0
013_101,1058.0
013_102,2418.0
013_103,848.0
013_104,490.0
013_105,1974.0
013_106,1840.0
013_107,874.0
013_108,1045.0
013_109,2012.0
013_110,1221.0
013_111,146.0
013_112,2190.0
013_113,779.0
013_114,1016.0
013_115,639.0
013_116,883.0
013_117,1416.0
013_118,1110.0
013_119,751.0
013_120,114.0
015_001,906.0
015_002,1184.0
015_003,604.0
015_004,1424.0
015_005,1356.0
015_006,1139.0
015_007,1574.0
015_008,730.0
015_009,755.0
015_010,683.0
015_011,474.0
015_012,171.0
015_013,701.0
015_014,388.0
015_015,589.0
015_016,879.0
015_017,807.0
015_018,762.0
015_019,643.0
015_020,617.0
015_021,477.0
015_023,640.0
015_025,428.0
015_026,652.0
015_027,1071.0
015_028,1012.0
015_029,47.0
015_030,94.0
