county_prec,pct_obama,pct_romney,obama,romney
031_018,0.7661290322580645,0.20161290322580644,95.0,25.0
031_019,0.8227194492254734,0.1549053356282272,478.0,90.0
031_020,0.7570281124497992,0.22690763052208834,377.0,113.0
031_021,0.710997442455243,0.2659846547314578,278.0,104.0
031_022,0.7469879518072289,0.23493975903614459,248.0,78.0
031_023,0.7871900826446281,0.18801652892561985,381.0,91.0
031_024,0.777319587628866,0.21237113402061855,377.0,103.0
031_025,0.7201492537313433,0.2599502487562189,579.0,209.0
031_026,0.2787878787878788,0.6818181818181818,92.0,225.0
031_027,0.9485627836611196,0.04387291981845688,627.0,29.0
031_028,0.9383116883116883,0.04220779220779221,289.0,13.0
031_029,0.9323671497584541,0.05555555555555555,386.0,23.0
031_030,0.9239130434782609,0.05745341614906832,595.0,37.0
031_031,0.5372670807453416,0.4409937888198758,173.0,142.0
031_032,0.6078431372549019,0.3627450980392157,124.0,74.0
031_033,0.7467811158798283,0.22532188841201717,348.0,105.0
031_034,0.7614213197969543,0.2131979695431472,150.0,42.0
031_035,0.720164609053498,0.25102880658436216,175.0,61.0
031_036,0.7407407407407407,0.24691358024691357,60.0,20.0
031_037,0.6357142857142857,0.30714285714285716,89.0,43.0
031_038,0.8043478260869565,0.15760869565217392,148.0,29.0
031_039,0.6862170087976539,0.2727272727272727,234.0,93.0
031_040,0.6157894736842106,0.35789473684210527,117.0,68.0
031_041,0.6853932584269663,0.2612359550561798,244.0,93.0
031_042,0.5033112582781457,0.46357615894039733,76.0,70.0
031_043,0.5078534031413613,0.47294938917975565,291.0,271.0
031_044,0.4152823920265781,0.5581395348837209,125.0,168.0
031_045,0.4329268292682927,0.5426829268292683,142.0,178.0
031_046,0.5118279569892473,0.45806451612903226,238.0,213.0
031_047,0.7639751552795031,0.20496894409937888,123.0,33.0
031_048,0.7140350877192982,0.24912280701754386,407.0,142.0
031_049,0.502262443438914,0.4494720965309201,333.0,298.0
031_050,0.5754716981132075,0.41509433962264153,61.0,44.0
031_052,0.472636815920398,0.4975124378109453,95.0,100.0
031_053,0.8790931989924433,0.10831234256926953,349.0,43.0
031_054,0.7774725274725275,0.21153846153846154,283.0,77.0
031_055,0.7180451127819549,0.2518796992481203,191.0,67.0
031_056,0.45433255269320844,0.5245901639344263,194.0,224.0
031_057,0.8357142857142857,0.15,234.0,42.0
031_058,0.610705596107056,0.3722627737226277,251.0,153.0
031_059,0.5824742268041238,0.4020618556701031,113.0,78.0
033_001,0.7318087318087318,0.23700623700623702,352.0,114.0
033_002,0.7840909090909091,0.19090909090909092,345.0,84.0
033_003,0.71875,0.26785714285714285,161.0,60.0
033_004,0.7933579335793358,0.1918819188191882,215.0,52.0
033_005,0.7013574660633484,0.27149321266968324,155.0,60.0
033_006,0.7627118644067796,0.2033898305084746,90.0,24.0
033_007,0.851063829787234,0.14184397163120568,120.0,20.0
