county,precinct,county_prec,total_votes,pct_trump,pct_clinton,clinton,trump,pct_latino
005,073,005_073,241.0,0.6846473029045643,0.22821576763485477,55.0,165.0,0.2564102564102564
005,081,005_081,173.0,0.5549132947976878,0.3468208092485549,60.0,96.0,0.4798657718120805
005,082,005_082,313.0,0.5559105431309904,0.3194888178913738,100.0,174.0,0.4403292181069959
005,083,005_083,225.0,0.6844444444444444,0.23555555555555555,53.0,154.0,0.30978260869565216
005,084,005_084,429.0,0.5920745920745921,0.2867132867132867,123.0,254.0,0.36429608127721336
005,085,005_085,284.0,0.6443661971830986,0.29577464788732394,84.0,183.0,0.3738532110091743
005,090,005_090,241.0,0.5103734439834025,0.36929460580912865,89.0,123.0,0.4408866995073892
005,091,005_091,517.0,0.586073500967118,0.3288201160541586,170.0,303.0,0.4664981036662453
005,092,005_092,246.0,0.6300813008130082,0.26422764227642276,65.0,155.0,0.3669064748201439
005,093,005_093,537.0,0.6014897579143389,0.29608938547486036,159.0,323.0,0.382830626450116
005,094,005_094,383.0,0.4386422976501306,0.4725848563968668,181.0,168.0,0.5435643564356436
005,101,005_101,784.0,0.6849489795918368,0.24107142857142858,189.0,537.0,0.4802955665024631
005,102,005_102,591.0,0.6362098138747885,0.24027072758037224,142.0,376.0,0.49842602308499473
005,103,005_103,192.0,0.7135416666666666,0.21354166666666666,41.0,137.0,0.49158249158249157
005,104,005_104,78.0,0.9487179487179487,0.01282051282051282,1.0,74.0,0.09090909090909091
006,001,006_001,114.0,0.8596491228070176,0.08771929824561403,10.0,98.0,0.06622516556291391
006,002,006_002,192.0,0.3385416666666667,0.5,96.0,65.0,0.7970479704797048
006,003,006_003,76.0,0.5,0.3157894736842105,24.0,38.0,0.7155963302752294
006,004,006_004,284.0,0.7323943661971831,0.18309859154929578,52.0,208.0,0.20179372197309417
006,005,006_005,999.0,0.18618618618618618,0.6396396396396397,639.0,186.0,0.1283084004602992
006,006,006_006,92.0,0.5760869565217391,0.32608695652173914,30.0,53.0,0.0718954248366013
006,007,006_007,432.0,0.5300925925925926,0.31712962962962965,137.0,229.0,0.5692771084337349
006,008,006_008,395.0,0.38734177215189874,0.4708860759493671,186.0,153.0,0.5478927203065134
006,009,006_009,690.0,0.4855072463768116,0.39420289855072466,272.0,335.0,0.5192660550458715
006,010,006_010,379.0,0.43799472295514513,0.39313984168865435,149.0,166.0,0.5741324921135647
006,011,006_011,537.0,0.4450651769087523,0.4301675977653631,231.0,239.0,0.5519911504424779
006,012,006_012,262.0,0.4770992366412214,0.40076335877862596,105.0,125.0,0.37236533957845436
006,013,006_013,251.0,0.450199203187251,0.4302788844621514,108.0,113.0,0.6605922551252847
006,014,006_014,412.0,0.662621359223301,0.24271844660194175,100.0,273.0,0.3262518968133536
006,015,006_015,723.0,0.5477178423236515,0.34854771784232363,252.0,396.0,0.503257328990228
006,016,006_016,302.0,0.5165562913907285,0.39403973509933776,119.0,156.0,0.4097222222222222
006,017,006_017,582.0,0.09278350515463918,0.738831615120275,430.0,54.0,0.11811722912966252
006,018,006_018,149.0,0.2953020134228188,0.6442953020134228,96.0,44.0,0.6632996632996633
006,019,006_019,166.0,0.6204819277108434,0.27710843373493976,46.0,103.0,0.38661710037174724
006,020,006_020,302.0,0.18211920529801323,0.6390728476821192,193.0,55.0,0.2972181551976574
006,021,006_021,175.0,0.17714285714285713,0.6171428571428571,108.0,31.0,0.4064327485380117
006,022,006_022,177.0,0.11864406779661017,0.6836158192090396,121.0,21.0,0.034482758620689655
006,023,006_023,58.0,0.08620689655172414,0.6724137931034483,39.0,5.0,0.11320754716981132
006,024,006_024,186.0,0.12903225806451613,0.6559139784946236,122.0,24.0,0.3016393442622951
006,025,006_025,128.0,0.1953125,0.59375,76.0,25.0,0.40271493212669685
007,001,007_001,1097.0,0.5113947128532361,0.3673655423883318,403.0,561.0,0.1024713682941531
007,002,007_002,297.0,0.3939393939393939,0.47474747474747475,141.0,117.0,0.4031890660592255
007,003,007_003,234.0,0.4700854700854701,0.405982905982906,95.0,110.0,0.3480825958702065
007,004,007_004,264.0,0.5416666666666666,0.36742424242424243,97.0,143.0,0.4
007,005,007_005,395.0,0.4582278481012658,0.43037974683544306,170.0,181.0,0.5506329113924051
007,007,007_007,204.0,0.5147058823529411,0.3480392156862745,71.0,105.0,0.27364864864864863
007,010,007_010,93.0,0.7849462365591398,0.1935483870967742,18.0,73.0,0.16216216216216217
007,011,007_011,127.0,0.44881889763779526,0.3937007874015748,50.0,57.0,0.4724770642201835
007,012,007_012,151.0,0.4370860927152318,0.4503311258278146,68.0,66.0,0.45387453874538747
007,013,007_013,86.0,0.38372093023255816,0.46511627906976744,40.0,33.0,0.373134328358209
007,014,007_014,158.0,0.5063291139240507,0.37341772151898733,59.0,80.0,0.358695652173913
007,015,007_015,288.0,0.5659722222222222,0.3333333333333333,96.0,163.0,0.2927400468384075
007,016,007_016,478.0,0.50418410041841,0.399581589958159,191.0,241.0,0.4681564245810056
007,017,007_017,199.0,0.38190954773869346,0.5226130653266332,104.0,76.0,0.6344827586206897
007,018,007_018,83.0,0.39759036144578314,0.54216867469879515,45.0,33.0,0.6884057971014492
007,019,007_019,80.0,0.25,0.625,50.0,20.0,0.7843137254901961
007,020,007_020,245.0,0.3346938775510204,0.4816326530612245,118.0,82.0,0.6740576496674058
007,021,007_021,392.0,0.4336734693877551,0.4260204081632653,167.0,170.0,0.49139280125195617
007,022,007_022,461.0,0.5943600867678959,0.31670281995661603,146.0,274.0,0.2534992223950233
009,001,009_001,97.0,0.9278350515463918,0.030927835051546393,3.0,90.0,0.015503875968992248
009,002,009_002,142.0,0.9084507042253521,0.056338028169014086,8.0,129.0,0.07428571428571429
009,003,009_003,134.0,0.8432835820895522,0.09701492537313433,13.0,113.0,0.22162162162162163
009,004,009_004,391.0,0.8695652173913043,0.07672634271099744,30.0,340.0,0.06514084507042253
009,005,009_005,234.0,0.6965811965811965,0.2094017094017094,49.0,163.0,0.3818615751789976
009,006,009_006,174.0,0.27011494252873564,0.5747126436781609,100.0,47.0,0.6354430379746835
009,007,009_007,265.0,0.2981132075471698,0.569811320754717,151.0,79.0,0.5631825273010921
009,008,009_008,422.0,0.45734597156398105,0.4146919431279621,175.0,193.0,0.4709976798143852
009,009,009_009,409.0,0.4449877750611247,0.4083129584352078,167.0,182.0,0.4833906071019473
009,010,009_010,313.0,0.8178913738019169,0.12779552715654952,40.0,256.0,0.1360381861575179
009,011,009_011,715.0,0.6377622377622377,0.24895104895104894,178.0,456.0,0.21747042766151045
009,012,009_012,503.0,0.6003976143141153,0.30218687872763417,152.0,302.0,0.28718535469107553
009,013,009_013,365.0,0.6684931506849315,0.2191780821917808,80.0,244.0,0.15157116451016636
009,014,009_014,409.0,0.7212713936430318,0.19315403422982885,79.0,295.0,0.19089574155653452
009,015,009_015,409.0,0.6210268948655256,0.2396088019559902,98.0,254.0,0.29451137884872824
009,016,009_016,35.0,0.9142857142857143,0.0,0.0,32.0,0.0
009,017,009_017,572.0,0.7534965034965035,0.18006993006993008,103.0,431.0,0.09745762711864407
009,018,009_018,1337.0,0.7576664173522812,0.175018698578908,234.0,1013.0,0.1210224308815858
009,019,009_019,839.0,0.7711561382598331,0.1537544696066746,129.0,647.0,0.10579345088161209
009,020,009_020,361.0,0.5152354570637119,0.3490304709141274,126.0,186.0,0.3770053475935829
009,021,009_021,414.0,0.5531400966183575,0.32608695652173914,135.0,229.0,0.3247058823529412
009,022,009_022,182.0,0.47802197802197804,0.36813186813186816,67.0,87.0,0.5103626943005182
009,023,009_023,409.0,0.8019559902200489,0.1198044009779951,49.0,328.0,0.10676156583629894
009,024,009_024,825.0,0.6981818181818182,0.23393939393939395,193.0,576.0,0.18923327895595432
009,025,009_025,177.0,0.2994350282485876,0.5932203389830508,105.0,53.0,0.6581632653061225
009,026,009_026,164.0,0.4634146341463415,0.4268292682926829,70.0,76.0,0.539440203562341
009,027,009_027,102.0,0.5,0.43137254901960786,44.0,51.0,0.4673913043478261
009,028,009_028,157.0,0.46496815286624205,0.39490445859872614,62.0,73.0,0.639751552795031
009,029,009_029,193.0,0.533678756476684,0.36787564766839376,71.0,103.0,0.3286384976525822
009,030,009_030,266.0,0.8270676691729323,0.10526315789473684,28.0,220.0,0.2942528735632184
