county,precinct,code,reg_voters
DONA ANA,13,,3025
DONA ANA,14,,1819
DONA ANA,15,,1832
DONA ANA,16,,786
DONA ANA,17,,837
DONA ANA,18,,981
DONA ANA,19,,1280
DONA ANA,20,,1027
DONA ANA,21,,1045
DONA ANA,22,,1431
DONA ANA,23,,799
DONA ANA,24,,848
DONA ANA,25,,549
DONA ANA,26,,1283
DONA ANA,27,,745
DONA ANA,28,,975
DONA ANA,29,,460
DONA ANA,30,,612
DONA ANA,31,,684
DONA ANA,32,,239
DONA ANA,33,,689
DONA ANA,34,,1082
DONA ANA,35,,458
DONA ANA,36,,371
DONA ANA,37,,619
DONA ANA,38,,1232
DONA ANA,39,,746
DONA ANA,40,,901
DONA ANA,41,,425
DONA ANA,42,,450
DONA ANA,43,,528
DONA ANA,44,,631
DONA ANA,45,,667
DONA ANA,46,,553
DONA ANA,47,,747
DONA ANA,48,,1095
DONA ANA,49,,625
DONA ANA,50,,437
DONA ANA,51,,636
DONA ANA,52,,1363
DONA ANA,53,,1124
DONA ANA,54,,1092
DONA ANA,55,,1280
DONA ANA,56,,1243
DONA ANA,57,,688
DONA ANA,58,,1267
DONA ANA,59,,1696
DONA ANA,60,,248
DONA ANA,61,,1288
DONA ANA,62,,1548
DONA ANA,63,,1086
DONA ANA,64,,443
DONA ANA,65,,740
DONA ANA,66,,1700
DONA ANA,67,,2024
DONA ANA,68,,652
DONA ANA,69,,851
DONA ANA,70,,572
DONA ANA,71,,736
DONA ANA,72,,427
DONA ANA,73,,1300
DONA ANA,74,,610
DONA ANA,75,,1402
DONA ANA,76,,581
DONA ANA,77,,545
DONA ANA,78,,1799
DONA ANA,79,,766
DONA ANA,80,,993
DONA ANA,81,,261
DONA ANA,82,,670
DONA ANA,83,,1734
DONA ANA,84,,827
DONA ANA,85,,821
DONA ANA,86,,1743
DONA ANA,87,,1250
DONA ANA,88,,357
DONA ANA,89,,788
DONA ANA,90,,766
DONA ANA,91,,675
DONA ANA,92,,304
DONA ANA,93,,278
DONA ANA,94,,724
DONA ANA,95,,180
DONA ANA,96,,901
DONA ANA,97,,1847
DONA ANA,98,,628
DONA ANA,99,,1229
EDDY,1,,925
EDDY,2,,1278
EDDY,3,,617
EDDY,4,,1453
EDDY,5,,1378
EDDY,6,,1154
EDDY,7,,1426
EDDY,8,,719
EDDY,9,,785
EDDY,10,,739
EDDY,11,,484
EDDY,12,,191
EDDY,13,,741
EDDY,14,,463
EDDY,15,,657
EDDY,16,,985
EDDY,17,,926
EDDY,18,,844
EDDY,19,,690
EDDY,20,,688
EDDY,21,,536
EDDY,23,,712
EDDY,25,,460
EDDY,26,,713
EDDY,27,,1176
EDDY,28,,941
EDDY,29,,56
EDDY,30,,84
EDDY,32,,1217
EDDY,33,,1166
EDDY,34,,1423
EDDY,35,,769
EDDY,36,,765
EDDY,37,,598
EDDY,38,,159
EDDY,39,,400
EDDY,40,,157
EDDY,41,,596
EDDY,42,,78
EDDY,44,,1084
EDDY,45,,704
GRANT,1,,453
GRANT,2,,499
GRANT,3,,54
GRANT,4,,114
GRANT,5,,922
GRANT,6,,88
GRANT,7,,421
GRANT,8,,1195
GRANT,9,,310
GRANT,10,,243
GRANT,11,,1357
GRANT,12,,1824
GRANT,13,,1380
GRANT,14,,955
GRANT,15,,1037
GRANT,16,,939
GRANT,17,,424
GRANT,18,,744
GRANT,19,,625
GRANT,20,,825
GRANT,21,,194
GRANT,22,,1030
GRANT,23,,275
GRANT,24,,407
GRANT,25,,469
GRANT,26,,494
GRANT,27,,457
GRANT,28,,633
GRANT,29,,436
GRANT,30,,505
GRANT,31,,80
GRANT,32,,319
GRANT,33,,513
GRANT,34,,584
GRANT,35,,93
GUADALUPE,1,,888
GUADALUPE,2,,840
GUADALUPE,3,,764
GUADALUPE,4,,319
GUADALUPE,5,,684
HARDING,1,,299
HARDING,2,,462
HIDALGO,1,,560
HIDALGO,2,,539
HIDALGO,3,,827
HIDALGO,4,,824
HIDALGO,5,,196
HIDALGO,6,,257
LEA,2,,34
LEA,3,,778
LEA,10,,901
LEA,11,,447
LEA,12,,404
LEA,13,,1058
LEA,14,,753
LEA,15,,1294
LEA,16,,410
LEA,17,,463
LEA,18,,353
LEA,20,,1472
LEA,21,,309
LEA,22,,1324
LEA,23,,1125
LEA,24,,727
LEA,25,,635
LEA,26,,1061
LEA,27,,775
LEA,28,,565
LEA,29,,812
LEA,30,,511
LEA,31,,861
LEA,32,,689
LEA,33,,776
LEA,34,,353
LEA,35,,420
LEA,36,,676
LEA,41,,1137
LEA,42,,730
LEA,43,,765
LEA,44,,692
LEA,51,,405
LEA,52,,1138
LEA,53,,828
LEA,54,,456
LEA,55,,341
LEA,61,,714
LEA,62,,325
LEA,71,,659
LEA,72,,803
LEA,73,,712
LEA,74,,468
LINCOLN,1,,298
LINCOLN,2,,337
LINCOLN,3,,1087
LINCOLN,4,,518
LINCOLN,5,,1229
LINCOLN,6,,1011
LINCOLN,7,,1382
LINCOLN,8,,1159
LINCOLN,9,,1299
LINCOLN,10,,420
LINCOLN,11,,1060
LINCOLN,12,,445
LINCOLN,13,,569
LINCOLN,14,,706
LINCOLN,15,,339
LINCOLN,16,,186
LINCOLN,17,,419
LINCOLN,18,,232
LINCOLN,19,,196
LINCOLN,20,,386
LINCOLN,21,,705
LINCOLN,22,,222
LOS ALAMOS,1,,770
LOS ALAMOS,2,,504
LOS ALAMOS,3,,675
LOS ALAMOS,4,,870
LOS ALAMOS,5,,529
LOS ALAMOS,6,,1335
LOS ALAMOS,7,,643
LOS ALAMOS,8,,725
LOS ALAMOS,9,,536
LOS ALAMOS,10,,394
LOS ALAMOS,11,,906
LOS ALAMOS,12,,759
LOS ALAMOS,13,,765
LOS ALAMOS,14,,750
LOS ALAMOS,15,,1785
LOS ALAMOS,16,,1317
LOS ALAMOS,17,,530
LUNA,1,,400
LUNA,2,,828
LUNA,3,,1223
LUNA,4,,780
LUNA,5,,1378
LUNA,6,,911
LUNA,8,,969
LUNA,10,,1348
LUNA,11,,1018
LUNA,12,,855
LUNA,13,,1542
LUNA,14,,1360
MCKINLEY,1,,857
MCKINLEY,2,,302
MCKINLEY,3,,314
MCKINLEY,4,,599
MCKINLEY,5,,1103
MCKINLEY,6,,1175
MCKINLEY,7,,813
MCKINLEY,8,,369
MCKINLEY,9,,1095
MCKINLEY,10,,953
MCKINLEY,11,,302
MCKINLEY,12,,478
MCKINLEY,13,,412
MCKINLEY,14,,1015
MCKINLEY,15,,1178
MCKINLEY,16,,485
MCKINLEY,17,,961
MCKINLEY,18,,260
MCKINLEY,19,,993
MCKINLEY,20,,791
MCKINLEY,21,,757
MCKINLEY,22,,635
MCKINLEY,23,,771
MCKINLEY,24,,804
MCKINLEY,25,,1365
MCKINLEY,26,,512
MCKINLEY,27,,1286
MCKINLEY,28,,691
MCKINLEY,29,,798
MCKINLEY,30,,1264
MCKINLEY,31,,575
MCKINLEY,32,,407
MCKINLEY,33,,923
MCKINLEY,34,,401
MCKINLEY,35,,512
MCKINLEY,36,,152
MCKINLEY,37,,254
MCKINLEY,38,,354
MCKINLEY,39,,607
MCKINLEY,40,,362
MCKINLEY,41,,685
MCKINLEY,42,,253
MCKINLEY,43,,882
MCKINLEY,44,,432
MCKINLEY,45,,528
MCKINLEY,46,,703
MCKINLEY,47,,357
MCKINLEY,48,,1172
MCKINLEY,49,,1042
MCKINLEY,50,,199
MCKINLEY,52,,314
MCKINLEY,53,,607
MCKINLEY,54,,617
MCKINLEY,55,,467
MCKINLEY,56,,683
MCKINLEY,57,,472
MCKINLEY,58,,711
MCKINLEY,59,,316
MORA,1,,754
MORA,10,,245
MORA,11,,314
MORA,2,,682
MORA,3,,346
MORA,4,,401
MORA,5,,371
MORA,6,,187
MORA,7,,232
MORA,8,,378
MORA,9,,141
OTERO,1,,869
OTERO,2,,41
OTERO,3,,32
OTERO,4,,81
OTERO,5,,280
OTERO,6,,194
OTERO,7,,304
OTERO,8,,1766
OTERO,9,,755
OTERO,10,,1876
OTERO,11,,1099
OTERO,12,,1063
OTERO,13,,836
OTERO,14,,1374
OTERO,15,,1163
OTERO,16,,621
OTERO,17,,1379
OTERO,18,,2710
OTERO,19,,468
OTERO,20,,420
OTERO,21,,1460
OTERO,22,,448
OTERO,23,,592
OTERO,24,,1189
OTERO,25,,816
OTERO,26,,646
OTERO,27,,732
OTERO,28,,1309
OTERO,29,,1326
OTERO,30,,533
OTERO,31,,519
OTERO,32,,589
OTERO,33,,652
OTERO,34,,573
OTERO,35,,1158
OTERO,36,,732
OTERO,37,,557
OTERO,38,,162
OTERO,39,,779
OTERO,40,,615
OTERO,41,,752
QUAY,1,,150
QUAY,2,,99
QUAY,3,,371
QUAY,4,,101
QUAY,5,,850
QUAY,6,,491
QUAY,7,,815
QUAY,8,,388
QUAY,9,,867
QUAY,10,,455
