county_prec,reg_12
045_055,1070
045_056,1277
045_057,1205
045_058,817
045_059,1335
045_060,539
045_061,1343
045_062,830
045_063,959
045_064,734
045_065,751
045_066,761
045_067,1504
045_068,607
045_069,1266
045_070,853
045_071,1166
045_072,853
045_073,656
045_074,1710
045_075,661
045_076,1454
045_077,1201
047_001,743
047_002,1541
047_003,947
047_004,1551
047_005,1524
047_006,638
047_007,748
047_008,1809
047_009,409
047_010,582
047_011,260
047_012,940
047_013,516
047_014,160
047_015,243
047_016,917
047_017,169
047_018,403
047_019,734
047_020,179
047_021,638
047_022,361
047_023,1915
047_024,552
047_025,645
047_026,1645
047_027,975
047_028,794
049_001,1219
049_002,236
049_003,396
049_004,88
049_005,814
049_006,204
049_007,564
049_008,1098
049_009,1196
049_010,1910
049_011,1739
049_012,1180
049_013,1606
049_014,832
049_015,791
049_016,323
049_017,409
049_018,888
049_019,260
049_020,1179
049_021,1823
049_022,1195
049_023,700
049_024,1020
049_025,739
049_026,583
049_027,1449
049_028,624
049_029,1415
049_030,1221
049_031,617
049_032,1513
049_033,1121
049_034,1416
049_035,873
049_036,630
049_037,943
049_038,1396
049_039,845
049_040,327
049_041,544
049_042,774
049_043,599
049_044,1147
049_045,598
049_046,494
049_047,1114
049_048,2214
049_049,901
049_050,1002
049_051,886
049_052,1624
049_053,1343
049_054,1404
049_055,1596
049_056,1081
049_057,828
049_058,963
049_059,923
049_060,345
049_061,1215
049_062,1031
049_063,909
049_064,1208
049_065,2163
049_066,1661
049_067,1914
049_068,1089
049_069,2134
049_070,2492
049_071,1679
049_072,1403
049_073,1464
049_074,864
049_075,1582
049_076,908
049_077,1324
049_078,2122
049_079,755
049_080,884
049_081,732
049_082,2885
049_083,1458
049_084,1638
049_085,1480
049_086,3347
049_087,252
049_088,1157
051_001,811
051_002,1798
051_003,327
051_004,334
051_005,1291
051_006,397
051_007,837
051_008,828
051_009,1367
053_001,761
053_002,815
053_003,1180
053_004,345
053_005,495
053_006,575
053_007,149
053_008,1045
053_009,77
053_010,190
053_011,727
053_012,32
053_013,603
053_014,428
053_015,1121
053_016,44
053_017,166
053_018,834
053_019,527
053_020,391
053_021,16
053_022,95
053_023,179
053_024,303
053_025,137
053_026,10
053_027,793
055_001,537
055_002,204
055_003,154
055_004,555
055_005,538
055_006,837
055_007,645
055_008,375
055_009,2024
055_010,506
055_011,1186
055_012,1794
055_013,847
055_014,645
055_015,1698
055_016,854
055_017,1811
055_018,1346
055_019,1461
055_020,700
055_021,1123
055_022,322
055_023,108
055_024,233
055_025,242
055_026,106
055_027,396
055_028,456
055_029,221
055_030,84
055_031,53
055_032,232
055_033,136
055_034,967
055_035,1330
055_036,107
057_0NA,10083
059_001,431
059_004,719
059_006,699
059_007,549
059_008,153
059_009,85
061_001,272
061_002,1678
061_003,707
061_004,902
061_005,1416
061_006,1444
061_007,1867
061_008,2035
061_009,733
061_010,749
061_011,754
061_012,1085
061_013,504
061_014,929
061_015,601
061_016,1325
061_017,2098
061_018,826
061_019,681
061_020,408
061_021,1632
061_022,593
061_023,1496
061_024,278
061_025,515
061_026,720
061_027,1553
061_028,1546
061_029,1549
061_030,1572
061_031,1262
061_032,1271
061_033,450
061_034,452
061_035,685
061_036,538
061_037,678
061_038,926
061_039,1588
061_040,1238
061_041,1436
